serial,location,stream_type,n_observations,best_curve,best_r2,mean_fullness_at_collection,median_elapsed_hours,pct_wasted_trips,fill_pct_at_24h,fill_pct_at_48h,fill_pct_at_72h,coeff_L,coeff_k,coeff_t0,coeff_a,coeff_b
1516549,W17 Mulford Hall,Compostables,79,sigmoid,0.2932,57.2,66.0,30.4,36.6,65.4,69.8,70.183988,0.105633,23.196041,,
1516550,U33 Spieker Plaza,Waste,98,sigmoid,0.4805,43.7,71.5,50.0,12.9,35.0,54.5,63.919738,0.065171,45.062349,,
1516551,U30 Birge Path,Waste,72,sigmoid,0.2857,40.6,49.5,50.0,17.3,41.0,53.8,57.677437,0.0728,35.691128,,
1516552,West Circle,Waste,73,sigmoid,0.3324,45.5,72.3,41.1,13.2,43.7,56.2,57.942776,0.097639,36.517692,,
1516553,E27 Coffee Lab,Waste,33,sigmoid,0.072,32.1,93.6,66.7,21.6,25.0,28.8,107.600395,0.007848,200.0,,
1516555,U32 HFA / Hearst Gym - West Side,Waste,73,sigmoid,0.4391,40.3,71.4,52.1,9.2,31.1,50.9,58.138639,0.075222,46.143317,,
1516556,U28 Wheeler,Waste,62,sigmoid,0.4644,32.3,78.5,64.5,7.0,25.7,43.5,49.74953,0.078197,47.169159,,
1516557,W15 Koshland,Waste,40,sigmoid,0.4335,57.5,111.7,20.0,0.3,63.0,63.0,63.022972,2.0,26.621803,,
1520904,UC Botanical Gardens,Bottles/Cans,17,linear,0.0,0.0,151.5,100.0,0.0,0.0,0.0,,,,0.0,
1520905,E30 Tan Hall North Side,Bottles/Cans,12,sigmoid,0.4384,41.7,127.3,41.7,0.0,0.0,0.0,62.857143,1.502138,99.515574,,
1520906,Stadium Gate 3,Bottles/Cans,90,sigmoid,0.0134,5.3,50.8,96.7,3.1,4.2,5.5,10.0,0.020641,63.147577,,
1520907,Stadium Gate 4,Bottles/Cans,68,sigmoid,0.0211,3.8,72.5,98.5,1.7,2.4,3.2,22.806081,0.01422,200.0,,
1520908,E26  Bechtel West Side,Bottles/Cans,7,insufficient_data,,34.3,99.4,57.1,,,,,,,,
1520909,U23 Law Building west of Heyman Terrace,Bottles/Cans,19,sigmoid,0.2307,55.8,99.8,36.8,0.0,50.6,62.4,62.363112,1.999914,47.270276,,
1520910,E30 Soda Hall NW,Bottles/Cans,8,insufficient_data,,17.5,110.6,75.0,,,,,,,,
1520911,Stadium Gate 4,Waste,25,sigmoid,0.1539,17.6,95.0,100.0,8.7,13.2,17.2,22.322539,0.034785,37.130133,,
1520912,E30 Tan Hall North Side,Compostables,14,sigmoid,0.0526,40.0,108.9,50.0,30.1,32.9,35.8,105.864044,0.005253,200.0,,
1520913,U23 Law Building west of Heyman Terrace,Waste,81,sigmoid,0.4351,50.4,71.7,35.8,19.4,53.8,62.2,62.9838,0.107456,31.526813,,
1520914,Stadium Gate 3,Waste,32,logarithmic,0.0662,28.8,96.2,78.1,20.5,25.7,28.8,,,,7.845052,0.528868
1520916,E30 Soda Hall NW,Waste,32,sigmoid,0.1657,38.1,93.8,59.4,19.0,24.9,31.6,71.049314,0.016288,85.774567,,
1520917,E30 Tan Hall North Side,Waste,44,sigmoid,0.4756,50.9,101.5,27.3,0.8,56.4,57.7,57.66348,0.338518,36.679225,,
1520918,UC Botanical Gardens,Waste,25,logarithmic,0.0002,2.4,116.5,100.0,1.9,2.2,2.3,,,,0.352709,10.0
1520919,E26  Bechtel West Side,Waste,24,sigmoid,0.4392,56.7,86.0,29.2,13.4,44.0,65.2,70.862925,0.081057,41.926233,,
1520920,Stadium Gate 4,Compostables,23,sigmoid,0.2077,5.2,97.0,100.0,0.0,0.0,0.0,10.0,1.999999,95.412688,,
1520922,E26  Bechtel West Side,Compostables,18,sigmoid,0.1067,35.6,97.8,61.1,0.0,38.8,38.8,38.75062,2.0,38.68434,,
1520923,E30 Soda Hall NW,Compostables,28,saturating,0.0049,24.3,96.1,85.7,21.1,24.0,24.5,,,,24.517049,0.082364
1520925,Stadium Gate 3,Compostables,32,sigmoid,0.1266,8.8,96.6,96.9,0.0,0.0,0.0,13.68421,1.909498,83.352977,,
1520926,UC Botanical Gardens,Compostables,22,power_law,-0.0,0.9,156.3,100.0,0.9,0.9,0.9,,,,0.90909,0.0
1520928,U23 Law Building west of Heyman Terrace,Compostables,60,sigmoid,0.2376,58.3,95.9,23.3,26.1,44.5,57.3,66.103032,0.04776,32.897826,,
2502339,W18 Campanile Way West Entrance,Bottles/Cans,30,saturating,-0.0,62.7,109.1,20.0,62.7,62.7,62.7,,,,62.666891,2.0
2503760,U26 A&E Sproul,Compostables,22,sigmoid,0.0002,32.7,120.3,59.1,32.1,32.3,32.5,67.021395,0.000487,199.999173,,
2503761,W06 West Circle,Compostables,90,sigmoid,0.2418,58.7,71.6,25.6,38.0,62.9,66.2,66.458714,0.107616,21.293475,,
2503762,E18 Latimer Courtyard,Compostables,35,sigmoid,0.3159,57.1,100.5,20.0,6.0,59.1,60.0,60.04989,0.264123,32.32687,,
2503763,U03 Grade Street,Compostables,38,sigmoid,0.3948,50.5,118.8,28.9,18.4,38.8,52.9,59.937315,0.059192,37.793907,,
2503764,U21 Social Sciences Building,Compostables,59,sigmoid,0.0354,36.6,88.6,81.4,26.5,33.8,37.8,40.754156,0.040195,8.451131,,
2503765,E18 Latimer Courtyard,Waste,73,sigmoid,0.0981,68.2,73.1,6.8,59.3,63.2,67.2,120.0,0.005489,28.307882,,
2503766,U21 Social Sciences Building,Waste,79,sigmoid,0.3645,46.1,52.8,44.3,17.9,50.9,58.6,59.307008,0.109778,31.634728,,
2503767,U26 A&E Sproul,Waste,39,sigmoid,0.3134,24.1,75.5,74.4,9.9,14.0,19.6,120.0,0.016135,173.290456,,
2503768,W06 West Circle,Waste,135,sigmoid,0.2759,57.0,49.9,28.1,39.3,61.3,68.8,70.918963,0.06841,20.860602,,
2503769,U03 Grade Street,Waste,68,sigmoid,0.6477,50.6,83.7,35.3,5.7,49.7,66.0,66.735183,0.143187,40.534418,,
2503770,U26 A&E Sproul,Bottles/Cans,7,insufficient_data,,31.4,91.4,57.1,,,,,,,,
2503771,U21 Social Sciences Building,Bottles/Cans,12,sigmoid,0.4618,40.0,124.1,50.0,0.0,0.0,0.0,60.113804,2.0,119.400959,,
2503772,W06 West Circle,Bottles/Cans,31,sigmoid,0.5223,53.5,94.8,35.5,0.0,0.0,5.7,75.056284,1.912575,73.31075,,
2503773,U03 Grade Street,Bottles/Cans,16,sigmoid,0.0287,41.2,114.5,50.0,24.6,31.3,37.3,51.109969,0.022239,27.318664,,
2503774,E18 Latimer Courtyard,Bottles/Cans,8,insufficient_data,,52.5,117.5,37.5,,,,,,,,
